state,abbreviation,FIPS,Status,State-Level Score,statelevelSubgrade,County-Level Score,countylevelSubgrade,Demographics Score,demographicsSubgrade,Special Populations Score,specialPopulationsSubgrade,Exposure and Clinical Indications Score,exposureAndClinicalIndicationsSubgrade,Outcomes and Preparedness Score,outcomesAndPreparednessSubgrade,Data Quality Score,dataQualitySubgrade,totalScore,stateGrade,Scores Excluding Territories,stateRank,publicHealthFundingPerCapita,COVID-19 site,Contact Info,Twitter
Ohio,OH,04000US39,State,63.13,D,61.67,D,41.38,F,18,F,0,F,92,A,45,F,58.41,F,58.41,45,14.01,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home,,@OHdeptofhealth
Oklahoma,OK,04000US40,State,60,D,60,D,60.08,D,0,F,0,F,38,F,67.5,D,58.46,F,58.46,44,43.61,https://looker-dashboards.ok.gov/embed/dashboards/44,,@HealthyOklahoma
Oregon,OR,04000US41,State,95.63,A,95,A,78.92,C,27,F,80,B,79,C,59.58,D,87.99,B,87.99,5,35.25,https://govstatus.egov.com/OR-OHA-COVID-19,COVID.19@dhsoha.state.or.us,@OHAOregon
Pennsylvania,PA,04000US42,State,91.25,A,90,A,75.46,C,54,F,0,F,36,F,22.5,F,77.9,C,77.9,18,15.06,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,https://expressforms.pa.gov/apps/pa/health/contact-us,@PAHealthDept
Puerto Rico,PR,04000US72,Territory,31.88,F,15,F,12.62,F,0,F,0,F,47,F,11.25,F,22.37,F,,,,,,@DeptSaludPR
Rhode Island,RI,04000US44,State,92.5,A,66.67,D,73.46,C,54,F,0,F,62,D,70.83,C,77.27,C,77.27,19,57.26,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com,RIDOH.COVID19Questions@health.ri.gov,@rihealth
South Carolina,SC,04000US45,State,93.75,A,45,F,24.62,F,54,F,10,F,66,D,67.5,D,64.89,D,64.89,40,27.03,https://www.scdhec.gov/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/sc-testing-data-projections-covid-19,info@dhec.sc.gov,@scdhec
South Dakota,SD,04000US46,State,61.25,D,45,F,42.92,F,0,F,0,F,66,D,74.17,C,54.3,F,54.3,47,35.48,https://doh.sd.gov/news/Coronavirus.aspx,DOH.info@state.sd.us,@SDDOH
Tennessee,TN,04000US47,State,63.75,D,78.33,C,78.92,C,54,F,0,F,94,A,67.5,D,71.25,C,71.25,28,51.24,https://www.tn.gov/health/cedep/ncov.html,tn.health@tn.gov,@TNDeptofHealth
Texas,TX,04000US48,State,77.5,C,75,C,61.42,D,54,F,0,F,60,D,70.83,C,72.11,C,72.11,27,17.16,https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83,coronavirus@dshs.texas.gov,@TexasDSHS
Utah,UT,04000US49,State,80,B,18.33,F,70.85,C,90,A,20,F,64,D,70.83,C,58.09,F,58.09,46,33.02,https://coronavirus.utah.gov/case-counts/,thudachko@utah.gov,@utahdepofhealth
Vermont,VT,04000US50,State,90,A,76.67,C,77.19,C,0,F,0,F,60,D,45,F,76.54,C,76.54,23,49.2,https://www.healthvermont.gov/response/coronavirus-covid-19/current-activity-vermont#dashboard,,@healthvermont
Virgin Islands,VI,04000US78,Territory,81.25,B,96.67,A,24.08,F,0,F,90,A,32,F,82.08,B,75.34,C,,,,,,@usvidoh
Virginia,VA,04000US51,State,58.75,F,75.83,C,74.31,C,54,F,0,F,66,D,67.5,D,66.5,D,66.5,37,39.6,https://www.vdh.virginia.gov/coronavirus/,Questions@vdh.virginia.gov,@vdhgov
Washington,WA,04000US53,State,95,A,95,A,78.54,C,0,F,0,F,66,D,100,A,90.01,A,90.01,1,45.62,https://www.doh.wa.gov/Emergencies/Coronavirus,,@WADeptHealth
West Virginia,WV,04000US54,State,95,A,61.67,D,51.54,F,54,F,0,F,94,A,67.5,D,75.19,C,75.19,25,58.74,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,,@WV_DHHR
Wisconsin,WI,04000US55,State,93.75,A,90,A,78.15,C,82,B,0,F,94,A,93.33,A,89.51,A,89.51,3,17.38,https://www.dhs.wisconsin.gov/covid-19/data.htm,HSwebmaster@dhs.wisconsin.gov, @DHSWI
Wyoming,WY,04000US56,State,48.13,F,45.83,F,10.77,F,0,F,50,F,15,F,70.83,C,42.73,F,42.73,50,50.44,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,wdh.covid19@wyo.gov,@health_wyoming
